Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Netherlands Antilles(*),"95,994","96,975","95,658","96,981","102,938","105,764","111,296","109,035","109,867","103,257","98,167","88,092","82,992","82,433","91,731","94,451","105,675","110,081","139,294","153,003","168,004","174,028","181,885","190,410","204,641","203,457"
Sweden,"148,797","142,167","148,444","153,034","161,688","127,957","133,717","129,958","129,727","101,516","98,458","112,379","88,029","86,534","89,904","141,877","130,604","115,435","122,003","111,741","123,913","148,386","175,951","202,727","189,276","189,318"
Iraq,"329,136",0,484,"3,363",460,9,"2,720","81,944","96,161","9,252","8,495","7,565",32,"75,049","67,483","325,569","451,285","576,062","892,296","154,193","287,930","657,321","145,197","153,523","204,967","177,292"
Portugal,"336,122","228,724","247,184","206,611","231,772","268,233","289,064","248,958","157,124","139,130","137,783","139,226","212,254","219,880","152,732","145,040","117,178","255,654","253,256","84,334","110,175","250,618","183,496","128,743","328,976","167,128"
Leeward-Windward Islands(*),"83,153","74,657","60,945","61,878","63,927","67,809","80,839","78,097","74,557","64,631","67,393","64,974","58,910","63,434","68,924","78,336","84,472","104,456","139,871","124,475","141,884","164,364","185,089","168,467","173,682","161,156"
Sri Lanka,"91,703","61,300","95,452","109,879","92,721","155,846","91,857","40,422","62,422","55,514","55,766","73,546","30,753","25,228","15,346","19,606","16,261","72,459","66,612","71,494","41,172","94,647","45,115","126,730","129,100","148,849"
Cuba,0,0,0,183,135,62,7,153,63,4,26,"4,574","139,814","247,571","383,870","346,044","320,847","431,194","685,453","525,258","349,302","352,780","459,479","350,151","286,429","148,818"
Argentina,"27,517","55,555","119,020","92,069","118,636","130,803","163,738","344,155","203,843","145,129","150,135","116,262","52,227","69,234","67,451","72,315","82,048","93,120","117,975","95,565","134,748","153,380","165,231","159,288","158,602","147,646"
Tunisia,"93,586","72,870","90,367","120,820","105,961","88,068","89,994","117,654","81,317","70,851","85,022","103,922","95,909","85,515","158,683","108,007","176,633","190,619","182,092","179,133","265,168","319,734","231,930","160,645","171,417","147,443"
Iran,"2,261","12,719","50,674","115,579","85,550","136,438",0,0,0,"47,680","14,691","4,454","10,649","46,035","10,063","5,825","5,139","63,012","592,938","164,586","75,497","56,901","135,201","191,003","63,873","140,430"
